2020-07-03,13
2020-07-04,18
2020-07-05,27
2020-07-06,40449
2020-07-07,837640
2020-07-08,1017022
2020-07-09,1088051
2020-07-10,1136279
2020-07-11,1165446
2020-07-12,1208625
2020-07-13,1237926
2020-07-14,1262206
2020-07-15,1280449
2020-07-16,1298843
2020-07-17,1313630
2020-07-18,1326777
2020-07-19,1338611
2020-07-20,1353593
2020-07-21,1366121
2020-07-22,1377639
2020-07-23,1387059
2020-07-24,1395099
2020-07-25,1402891
2020-07-26,1409980
2020-07-27,1416849
2020-07-28,1424153
2020-07-29,1434413
2020-07-30,1446412
2020-07-31,1461422
2020-08-01,1472284
2020-08-02,1483213
2020-08-03,1492550
2020-08-04,1503318
2020-08-05,1512638
2020-08-06,1522590
2020-08-07,1533610
2020-08-08,1545112
2020-08-09,1563186
2020-08-10,1586330
2020-08-11,1603355
2020-08-12,1615877
2020-08-13,1627437
2020-08-14,1637448
2020-08-15,1647497
2020-08-16,1657773
2020-08-17,1668278
2020-08-18,1680814
2020-08-19,1690547
2020-08-20,1699376
2020-08-21,1706250
2020-08-22,1712886
2020-08-23,1719372
2020-08-24,1725235
2020-08-25,1731719
2020-08-26,1738875
2020-08-27,1746202
2020-08-28,1753959
2020-08-29,1761206
2020-08-30,1767475
2020-08-31,1773683
2020-09-01,1781732
2020-09-02,1789509
2020-09-03,1797063
2020-09-04,1803730
2020-09-05,1809440
2020-09-06,1815181
2020-09-07,1821494
2020-09-08,1829034
2020-09-09,1835727
2020-09-10,1842907
2020-09-11,1849001
2020-09-12,1854367
2020-09-13,1859957
2020-09-14,1867117
2020-09-15,1874330
2020-09-16,1881547
2020-09-17,1889272
2020-09-18,1895981
2020-09-19,1902035
2020-09-20,1909472
2020-09-21,1916847
2020-09-22,1924208
2020-09-23,1931362
2020-09-24,1942107
2020-09-25,1949726
2020-09-26,1956667
2020-09-27,1963496
2020-09-28,1971052
2020-09-29,1977618
2020-09-30,1983969
2020-10-01,1990231
2020-10-02,1996463
2020-10-03,2002570
2020-10-04,2009593
2020-10-05,2018344
2020-10-06,2025110
2020-10-07,2031510
2020-10-08,2037550
2020-10-09,2043448
2020-10-10,2050589
2020-10-11,2057493
2020-10-12,2064240
2020-10-13,2065219
